,0.0,1.0,accuracy,macro avg,weighted avg
30,"{'precision': 0.8555992141453831, 'recall': 0.9467391304347826, 'f1-score': 0.8988648090815273, 'support': 920.0}","{'precision': 0.8679245283018868, 'recall': 0.6865671641791045, 'f1-score': 0.7666666666666667, 'support': 469.0}",0.8588912886969042,"{'precision': 0.861761871223635, 'recall': 0.8166531473069436, 'f1-score': 0.832765737874097, 'support': 1389.0}","{'precision': 0.8597608932954192, 'recall': 0.8588912886969042, 'f1-score': 0.8542277113186982, 'support': 1389.0}"
90,"{'precision': 0.8993865030674847, 'recall': 0.9004914004914005, 'f1-score': 0.899938612645795, 'support': 814.0}","{'precision': 0.8346938775510204, 'recall': 0.8329938900203666, 'f1-score': 0.8338430173292558, 'support': 491.0}",0.8750957854406131,"{'precision': 0.8670401903092526, 'recall': 0.8667426452558835, 'f1-score': 0.8668908149875254, 'support': 1305.0}","{'precision': 0.8750462125474969, 'recall': 0.8750957854406131, 'f1-score': 0.8750704614577333, 'support': 1305.0}"
270,"{'precision': 0.8890675241157556, 'recall': 0.9420783645655877, 'f1-score': 0.9148056244830438, 'support': 587.0}","{'precision': 0.9211136890951276, 'recall': 0.851931330472103, 'f1-score': 0.8851727982162765, 'support': 466.0}",0.9021842355175689,"{'precision': 0.9050906066054416, 'recall': 0.8970048475188453, 'f1-score': 0.8999892113496601, 'support': 1053.0}","{'precision': 0.9032493976963704, 'recall': 0.9021842355175689, 'f1-score': 0.9016917621465637, 'support': 1053.0}"
